date,subway,COVID-19,COVID-19 KOR
2021-05-29,9311708,160,533
2021-05-30,6869220,130,480
2021-05-31,12927959,147,430
2021-06-01,13150609,258,459
2021-06-02,13311119,215,677
2021-06-03,12830711,206,681
2021-06-04,13914924,277,695
2021-06-05,9505805,179,744
2021-06-06,6655053,159,556
2021-06-07,12910003,139,485
2021-06-08,13224669,183,454
2021-06-09,13286893,212,602
2021-06-10,13291559,204,610
2021-06-11,13337864,208,556
2021-06-12,9176081,176,565
2021-06-13,6500049,122,452
2021-06-14,13014180,131,399
2021-06-15,13038522,201,373
2021-06-16,13490051,201,545
2021-06-17,13402988,200,540
2021-06-18,13531887,197,507
2021-06-19,9643305,165,482
2021-06-20,6812659,134,429
2021-06-21,13395182,131,357
2021-06-22,13554067,236,394
2021-06-23,13555851,252,645
2021-06-24,13706151,269,610
2021-06-25,14183314,263,634
2021-06-26,9292366,242,668
2021-06-27,6901609,185,614
2021-06-28,13150337,205,501
2021-06-29,13503336,375,595
2021-06-30,13455023,333,794
2021-07-01,13537811,346,761
2021-07-02,14009104,359,825
2021-07-03,8710025,289,794
2021-07-04,5775560,307,743
2021-07-05,13356790,320,711
2021-07-06,13568286,582,746
2021-07-07,13099571,550,1211
2021-07-08,12687026,503,1275
2021-07-09,12823835,509,1316
2021-07-10,7645148,509,1378
2021-07-11,5234012,403,1324
2021-07-12,11441066,417,1100
